#t dx dy dz
4.75 2433.0093 -1123.9537 -206.4552
4.76 2398.4893 -1131.9037 -284.3202
4.77 2356.9393 -1124.6437 -250.2512
4.78 2223.1793 -1113.9537 -187.5872
4.79 2222.8393 -1021.2537 -192.9602
4.8 2247.1993 -990.7137 -130.0202
4.81 2208.0293 -932.2377 -131.3182
4.82 2255.3493 -1007.3837 -139.2492
4.83 2223.5693 -1035.9337 -210.0952
4.84 2224.4593 -1056.0137 -204.8802
4.85 2277.5693 -1012.7137 -368.6352
4.86 2252.6793 -1009.6537 -297.9952
4.87 2337.0793 -1037.6837 -332.8532
4.88 2258.5093 -933.3957 -256.9522
4.89 2338.5493 -904.3527 -132.5692
4.9 2305.3293 -893.7247 -195.5262
4.91 2269.3793 -906.2107 -221.6812
4.92 2356.3993 -938.4787 -220.9402
4.93 2330.4393 -969.7277 -149.8942
4.94 2301.1793 -1048.5737 -169.8262
4.95 2239.5493 -923.4697 -250.8212
4.96 2185.5193 -951.0417 -27.8184
4.97 2248.2993 -1044.9137 51.8948
4.98 2245.5693 -1028.2137 -76.5304
4.99 2196.8193 -1028.3237 -45.4597
